,1. open,2. high,3. low,4. close,5. volume,EMA,Volume_Oscillator,RSI,%K,%D,+DI,-DI,ADX,PVT
8650,21.98,21.98,21.97,21.975,5341.0,21.98573440466287,-52.30731909865208,22.160356347439333,8.333333333337281,8.838383838383946,9.247211895910564,32.527881040891884,31.23630959317463,-15026.604455747036
8651,21.98,21.985,21.98,21.985,5956.0,21.985489603108583,-36.80882441355067,29.959919839678747,25.0,17.17171717171728,11.081441922562783,31.15264797507772,33.663816130271044,-15023.894103073544
8652,21.985,21.985,21.97,21.975,13373.0,21.98199306873905,49.9307692738902,27.231329690345888,9.090909090913788,14.14141414141699,8.47890924584416,34.08606731998373,37.67449347428122,-15029.976886789713
8653,21.97,21.975,21.965,21.97,12725.0,21.97799537915937,40.01287348227695,27.231329690345007,8.333333333331854,14.14141414141518,8.302044221942442,33.37505214851938,40.35183748496034,-15032.87222239836
8654,21.97,21.97,21.955,21.96,34734.0,21.971996919439583,260.86022994874634,31.540084388184752,9.107468123866234,8.843903516037258,9.057806099224385,27.30996813837116,40.36435312951748,-15048.68196295366
8655,21.955,21.97,21.95,21.965,14810.0,21.96966461295972,51.95510091008897,36.81434599156085,25.041736227046464,14.16084589474815,8.856252781484676,28.927458834001182,40.57244107612272,-15045.3099228808
8656,21.96,21.96,21.95,21.95,6758.0,21.96310974197315,-30.94780725058241,31.660583941603107,0.0,11.383068116970868,8.663474096646128,26.121027427079664,40.388878289307314,-15049.924992309438
8657,21.95,21.9588,21.94,21.95,36315.0,21.9587398279821,252.0328040481592,28.530534351142222,14.306151645205215,13.115962624083858,4.239828693789409,29.97858672376894,44.07014654128985,-15049.924992309438
8658,21.951,21.965,21.951,21.96,21612.0,21.9591598853214,114.83706466219226,31.78506375227606,28.612303290415507,14.306151645206874,6.750524109013783,29.35010482180281,46.91025494237475,-15040.07897864201
8659,21.955,21.9675,21.955,21.965,7874.0,21.961106590214268,-22.183936065778987,33.54037267080699,35.76537911301812,26.22794468287958,7.881355932202946,27.54237288135448,48.94374776534171,-15038.286173541828
8660,21.965,21.975,21.965,21.9717,4513.0,21.96463772680952,-55.46235073522156,32.88530465949711,48.76923076922813,37.71563772422055,9.376382131799987,28.74834144183813,51.14551008614696,-15036.909569854142
8661,21.975,21.975,21.965,21.965,11929.0,21.96475848453968,16.173076361228254,35.493230174079784,41.66666666666519,42.06709218297044,10.03787878787853,28.40909090908913,52.84051511819344,-15040.54717186036
8662,21.965,21.965,21.96,21.9604,1586.0,21.963305656359783,-84.27349184340258,33.98148148148,34.05676126877963,41.49755290155762,10.281280310378127,31.52279340445964,53.71651344169735,-15040.879318457217
8663,21.9689,21.9689,21.96,21.9688,13466.0,21.96513710423985,31.39206046935957,42.38721804511337,48.080133555928015,41.267853830457575,12.237932715749032,29.2540224280825,53.69436808232667,-15035.728483317602
8664,21.96,21.9757,21.95,21.9757,16497.0,21.96865806949324,58.33345330473215,45.895851721094296,79.33333333333327,53.8234093860136,12.190383681399254,29.14035939776604,53.45473201544317,-15030.547076049115
